date,sector,exchange,averageChange
2025-12-24,Basic Materials,NASDAQ,0.01969853242589359
2025-12-23,Basic Materials,NASDAQ,0.35185130179673507
2025-12-22,Basic Materials,NASDAQ,0.4834049649775629
2025-12-19,Basic Materials,NASDAQ,0.7337661660312911
2025-12-18,Basic Materials,NASDAQ,-0.4304393501656234
2025-12-17,Basic Materials,NASDAQ,0.06016687146710442
2025-12-16,Basic Materials,NASDAQ,1.104287632098666
2025-12-15,Basic Materials,NASDAQ,-0.2628311930787608
2025-12-12,Basic Materials,NASDAQ,1.5995454647561802
2025-12-11,Basic Materials,NASDAQ,2.0896440997699717
2025-12-10,Basic Materials,NASDAQ,0.9534456396215862
2025-12-09,Basic Materials,NASDAQ,-0.07119389600734882
2025-12-08,Basic Materials,NASDAQ,-2.3096037309039863
2025-12-05,Basic Materials,NASDAQ,-1.1672202377545626
2025-12-04,Basic Materials,NASDAQ,-0.7949492625146326
2025-12-03,Basic Materials,NASDAQ,0.3080437811679104
2025-12-02,Basic Materials,NASDAQ,0.13445551256394683
2025-12-01,Basic Materials,NASDAQ,-0.7039039437735539
2025-11-28,Basic Materials,NASDAQ,0.6268529554538604
2025-11-27,Basic Materials,NASDAQ,0.31300710102848406
2025-11-26,Basic Materials,NASDAQ,0.3114462636069737
2025-11-25,Basic Materials,NASDAQ,-0.644286857087617
2025-11-24,Basic Materials,NASDAQ,-0.4021216886205492
2025-11-21,Basic Materials,NASDAQ,1.3901158370597466
2025-11-20,Basic Materials,NASDAQ,-1.489353643570701
2025-11-19,Basic Materials,NASDAQ,-0.22097531541060977
2025-11-18,Basic Materials,NASDAQ,-0.7461196846741958
2025-11-17,Basic Materials,NASDAQ,-0.8525103346721297
2025-11-14,Basic Materials,NASDAQ,-0.9353891916124235
2025-11-13,Basic Materials,NASDAQ,0.07576786273000291
2025-11-12,Basic Materials,NASDAQ,0.605749868577754
2025-11-11,Basic Materials,NASDAQ,0.13071717060060273
2025-11-10,Basic Materials,NASDAQ,0.1219932432866555
2025-11-07,Basic Materials,NASDAQ,0.9048935912775002
2025-11-06,Basic Materials,NASDAQ,-0.2742787091387755
2025-11-05,Basic Materials,NASDAQ,0.5370563853394739
2025-11-04,Basic Materials,NASDAQ,0.3160907340667096
2025-11-03,Basic Materials,NASDAQ,-2.05077974272061
2025-10-31,Basic Materials,NASDAQ,-1.2991286589736029
2025-10-30,Basic Materials,NASDAQ,-0.7198085083818806
2025-10-29,Basic Materials,NASDAQ,-1.490822960242999
2025-10-28,Basic Materials,NASDAQ,-0.4137663228167332
2025-10-27,Basic Materials,NASDAQ,-0.4903564348063938
2025-10-24,Basic Materials,NASDAQ,-0.6755031603300266
